name;info
Homeland;['Homeland', 'Hulu', 'Crime` Drama` Mystery', 'A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.', '8', 'https://m.media-amazon.com/images/M/MV5BZjNiOTA4YTEtYmE0Ni00Mzg4LTg1OTgtNTE0YWE3YTc0MDVhXkEyXkFqcGdeQXVyNjc3OTUzNzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Prison Break;['Prison Break', 'Hulu', 'Action` Crime` Drama', 'Due to a political conspiracy` an innocent man is sent to death row and his only hope is his brother` who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out` from the inside.', '6', 'https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_UY268_CR0`0`182`268_AL_.jpg']
Legion;['Legion', 'Hulu', 'Action` Drama` Sci-Fi', 'David Haller is a troubled young man diagnosed as schizophrenic` but after a strange encounter` he discovers special powers that will change his life forever.', '3', 'https://m.media-amazon.com/images/M/MV5BNmYxMjM5MzMtNTczZC00MGM3LTk2MTQtZmNmMTg4ZDI4ZTkxXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX182_CR0`0`182`268_AL_.jpg']
Lucifer;['Lucifer', 'Hulu', 'Crime` Drama` Fantasy', 'Lucifer Morningstar has decided he^s had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.', '5', 'https://m.media-amazon.com/images/M/MV5BZTA2NTBkYWUtMzM4Zi00YzhlLTk4NWItY2U1ODczNDMyNDAzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0`0`182`268_AL_.jpg']
Black Sails;"['Black Sails', 'Hulu', 'Adventure` Drama', 'Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson^s classic novel ""Treasure Island.""', '4', 'https://m.media-amazon.com/images/M/MV5BZmExNzU1M2YtNGUzOC00MmM0LWEwYzYtZWJiYjYxNDcwY2E0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_UX182_CR0`0`182`268_AL_.jpg']"
Workaholics;['Workaholics', 'Hulu', 'Comedy', 'A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5` and live together from 5 to 9.', '7', 'https://m.media-amazon.com/images/M/MV5BMTkxNzQ0MDMyMF5BMl5BanBnXkFtZTgwNTYzMjQ2NzE@._V1_UX182_CR0`0`182`268_AL_.jpg']
Brockmire;['Brockmire', 'Hulu', 'Comedy` Drama` Sport', 'A famed major league baseball announcer who suffers an embarrassing and very public meltdown live on the air after discovering his beloved wife^s serial infidelity decides to reclaim his career and love life in a small town a decade later.', '4', 'https://m.media-amazon.com/images/M/MV5BMzU4NTYyMjI0N15BMl5BanBnXkFtZTgwMjc2NzEzNTM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Informer;['Informer', 'Amazon Prime Video', 'Crime` Drama` Thriller', 'A young East London man is coerced by an officer to work undercover for him.', '1', 'https://m.media-amazon.com/images/M/MV5BNjY1MDEwMTctZTI3ZC00MzA1LWJiMjYtODM1YzBlZGQ4ZjEzXkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_UX182_CR0`0`182`268_AL_.jpg']
Tom Clancy's Jack Ryan;['Tom Clancy^s Jack Ryan', 'Amazon Prime Video', 'Action` Drama` Thriller', 'An up-and-coming CIA analyst` Jack Ryan` is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.', '3', 'https://m.media-amazon.com/images/M/MV5BNDg1Zjc4YzktMmRmZi00ZWJmLWJiYzgtYjg3MmE0OTM1NzY5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY268_CR0`0`182`268_AL_.jpg']
Bosch;['Bosch', 'Amazon Prime Video', 'Crime` Drama', 'An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.', '6', 'https://m.media-amazon.com/images/M/MV5BMmMzZjcxNGUtNjVmMC00MzQ2LTk4NjctOGU2Y2IyNTBiNDIzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY268_CR4`0`182`268_AL_.jpg']
